CountryYear,Country,Year,Happiness,FBBNKCAPAZS,FBASTNPERZS,ENBIRTHRDNO,ICBUSDISCXQ,ICREGCOSTPCZS,ICCRDINFOXQ,DTDISDLXFCD,ICBUSDFRNXQ,ICBUSEASEXQ,ENFSHTHRDNO,SHSTAACSN,SHSTAACSNRU,SHSTAACSNUR,SHH2OSAFEZS,SHH2OSAFERUZS,SHH2OSAFEURZS,DTINTDLXFCD,DTINTDPNGCD,SHMMRRISKZS,SHMMRRISK,ENMAMTHRDNO,SHSTAMMRT,IQSCIMTHD,SPDYNIMRTIN,SPDYNIMRTFEIN,SPDYNIMRTMAIN,SHDYNNMRT,SHDYNMORT,SHDYNMORTFE,SHDYNMORTMA,SHDTHIMRT,SHMMRDTHS,SHDTHNMRT,SHDTHMORT,IQSCIOVRL,IQSCIPRDC,ENHPTTHRDNO,DTAMTBLATCD,DTDISBLATCD,DTINTBLATCD,DTAMTPBNDCD,DTINTPBNDCD,DTAMTPCBKCD,DTDISPCBKCD,DTINTPCBKCD,DTAMTMLATCD,DTDISMLATCD,DTINTMLATCD,DTAMTOFFTCD,DTDISOFFTCD,DTINTOFFTCD,DTAMTPROPCD,DTDISPROPCD,DTINTPROPCD,DTAMTPRVTCD,DTDISPRVTCD,DTINTPRVTCD,DTAMTDLXFCD,DTAMTDPNGCD,ICCRDPRVTZS,ICWRHPROC,ICPRPPROC,SGGENPARLZS,ICCRDPUBLZS,IQSCISRCE,ICREGPROC,ICLGLCREDXQ,ICTAXPAYM,ICWRHDURS,ICLGLDURS,ICELCTIME,ICPRPDURS,ICREGDURS,ICTAXDURS,ICISVDURS,ICTAXTOTLCPZS
Afghanistan2008,Afghanistan,2008,3.723589897,,,,1,59.5,,96400000,,,,28,24.6,39.1,44.4,37.3,67,5996000,0,4.363613444,23,,676,40,78.6,,,39.8,110.4,,,85513,7500,43469,119855,45.55555556,66.66667,,0,604000,0,0,0,0,0,0,1296000,95796000,5996000,1296000,96400000,5996000,0,0,0,0,0,0,1296000,0,0,11,9,27.7,0,30,4,,20,357,1642,,250,9,275,,36.3
Afghanistan2009,Afghanistan,2009,4.401778221,,,,1,30.2,,108774000,40.69,,,28.7,25,40.1,46.2,38.9,68.9,6530000,0,3.962104695,25,,631,30,76.8,,,39.1,107.6,,,83723,7000,42791,117253,46.66666667,70,,2259000,0,0,0,0,0,0,0,881000,108774000,6530000,3140000,108774000,6530000,0,0,0,0,0,0,3140000,0,0,11,9,27.3,0,40,4,,20,357,1642,424,250,7,275,,36.3
Afghanistan2010,Afghanistan,2010,4.75838089,,49.90132291,,1,26.7,,76001000,37.96,,,29.3,25.4,41.1,48,40.5,70.7,7013000,0,3.543143567,28,,584,40,75.1,70.7,79.3,38.7,105,101.4,108.4,81775,6400,42311,114576,52.22222222,76.66667,,0,0,0,0,0,0,0,0,966000,76001000,7013000,966000,76001000,7013000,0,0,0,0,0,0,966000,0,0,11,9,27.7,0,40,4,,20,357,1642,196,250,7,275,,36.3
Afghanistan2011,Afghanistan,2011,3.83171916,8.245411771,4.696817825,,1,25.8,,62241000,39.45,,,29.9,25.8,42.1,49.8,42.1,72.6,8887000,0,3.118576394,32,,536,40,73.4,,,38.1,102.3,,,78764,5900,41052,110628,51.11111111,73.33333,,0,0,0,0,0,0,0,0,862000,62241000,8887000,862000,62241000,8887000,0,0,0,0,0,0,862000,0,0,11,9,27.7,0,40,4,,20,357,1642,114,250,7,275,,36.3
Afghanistan2012,Afghanistan,2012,3.782937527,7.625979038,4.958901404,,1,22.5,,52088000,40.08,,,30.5,26.2,43.1,51.6,43.7,74.5,8233000,0,2.750151257,36,,496,40,71.7,,,37.4,99.5,,,75586,5400,39588,106217,50,70,,0,0,0,0,0,0,0,0,926000,52088000,8233000,926000,52088000,8233000,0,0,0,0,0,0,926000,0,0,11,9,27.7,0,40,4,,20,357,1642,114,250,7,275,,36.3
Afghanistan2013,Afghanistan,2013,3.572100401,11.63815132,4.852287048,,1,14.4,0,35943000,41.28,,,31.1,26.6,44.1,53.4,45.4,76.3,7515000,0,2.434606475,41,,459,50,69.9,,,36.8,96.7,,,72378,5000,38263,101766,53.33333333,70,,0,0,0,0,0,0,0,0,4159000,35943000,7515000,4159000,35943000,7515000,0,0,0,0,0,0,4159000,0,0,11,9,27.7,0,40,3,9,20,353,1642,114,250,5,275,,35.8
Afghanistan2014,Afghanistan,2014,3.130895615,11.86747622,7.781090896,,1,15.1,0,31738000,40.65,175,,31.8,27,45.1,55.2,47,78.2,8886000,0,2.153191318,46,,425,50,68.1,,,36.1,93.9,,,69579,4600,37038,97692,54.44444444,73.33333333,,1983000,10121000,0,0,0,0,0,0,6420000,21617000,8886000,8403000,31738000,8886000,0,0,0,0,0,0,8403000,0,0,11,9,27.7,0,40,3,9,20,353,1642,114,250,7,275,2,36.3
Afghanistan2015,Afghanistan,2015,3.982854605,12.22274884,13.48839926,17,1,19,0,23323000,40.58,177,5,31.9,27,45.1,55.3,47,78.2,60463000,0,1.92613064,52,10,396,40,66.3,62.1,70.3,35.5,91.1,87.4,94.6,67399,4300,36242,94261,51.1111,73.3333,5,93356000,10075000,49265000,0,0,0,0,0,28796000,13248000,11198000,122152000,23323000,60463000,0,0,0,0,0,0,122152000,0,0,11,9,27.71084337,0.5,40,3,9,20,353,1642,114,250,7,275,2,36.3
Albania2007,Albania,2007,4.634251595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania2009,Albania,2009,5.485469818,9.6,10.5,,7,32.2,,457315000,62.17,,,90.2,85,95.2,95.7,94.5,96.9,57962000,8088000,0.047116067,2100,,30,60,15.4,,,7.9,17.3,,,496,10,254,559,77.77777778,73.33333,,38691000,65495000,11303000,0,2458000,1399000,31952000,11982000,39560000,190516000,24090000,78251000,256011000,35393000,240000,2540000,41000,1639000,34492000,14481000,112333000,32443000,0,21,6,16.4,9.9,100,7,,44,320,390,177,42,7,368,,43.6
Albania2010,Albania,2010,5.268936634,9.4,14,,7,31.8,,820018000,62.34,,,90.9,86.1,95.3,95.6,94.7,96.5,47346000,8445000,0.049607295,2000,,30,60,14.8,13.2,16.4,7.5,16.6,14.8,18.3,483,11,244,540,70,70,,40664000,49365000,9292000,0,847000,2398000,26506000,6587000,45758000,148696000,22135000,86422000,198061000,31427000,228000,8594000,40000,2626000,433168000,7474000,126550000,37502000,0,21,6,16.4,12.3,80,7,,44,320,390,177,42,7,360,,40.3
Albania2011,Albania,2011,5.867421627,8.7,18.8,,7,29.3,,754742000,58.67,,,91.5,87.2,95.3,95.5,94.8,96.1,85252000,8188000,0.050652504,2000,,30,60,14.3,,,7.2,16,,,490,11,246,543,70,70,,43977000,46058000,9004000,0,32106000,2681000,25536000,9173000,54912000,227957000,26740000,98889000,274015000,35744000,237000,18135000,41000,2918000,144391000,41320000,142815000,41008000,0,,6,15.7,17,80,7,,44,,390,177,33,6.5,371,,38.3
Albania2012,Albania,2012,5.510124207,8.6,22.5,,7,22.4,,682788000,58.9,,,92.1,88.3,95.4,95.4,94.9,95.7,83610000,9372000,0.051873373,1900,,30,70,13.8,,,7,15.5,,,513,11,260,567,73.33333333,70,,43827000,63023000,9495000,0,29937000,2566000,15868000,7325000,61278000,251867000,27426000,105105000,314890000,36921000,329000,4984000,55000,2895000,20852000,37317000,160000000,52000000,0,,6,15.7,19.7,80,6,,44,,450,177,33,5.5,357,,38.5
Albania2013,Albania,2013,4.550647736,9.3,23.5,,7,21.2,6,749061000,59.37,,,92.7,89.4,95.4,95.2,95.1,95.3,80468000,8225000,0.052599517,1900,,29,60,13.3,,,6.8,14.9,,,540,11,275,593,68.88888889,66.66666667,,47457000,60417000,9593000,0,30555000,2121000,9312000,5262000,74856000,188338000,26784000,122313000,248755000,36377000,346000,165000,49000,2467000,9477000,35866000,200010000,75230000,0,,6,17.9,13.1,80,6,8,42,,525,177,33,5.5,357,,31.5
Albania2014,Albania,2014,4.813763142,9,22.8,,7,10.1,6,732560000,66.77,62,,93.2,90.2,95.5,95.1,95.2,94.9,93077000,14289000,0.05287837,1900,,29,50,12.9,,,6.5,14.4,,,561,11,282,613,75.55555556,76.66666667,,48238000,85365000,10820000,0,29678000,34282000,12844000,5177000,95587000,347726000,33078000,143825000,433091000,43898000,228000,1990000,35000,34510000,14834000,34890000,230604000,52269000,0,19,6,20,16.7,100,6,7,34,228,525,177,22,5.5,357,2,31.4
Albania2015,Albania,2015,4.606650829,9.7,20.9,10,9,10.4,6,350193000,60.5,97,44,93.2,90.2,95.5,95.1,95.2,94.9,67325000,0,0.053360538,1900,3,29,50,12.5,11.2,13.7,6.2,14,12.5,15.3,564,11,279,618,72.22223333,66.6667,0,63421000,137095000,10959000,364230000,27521000,37376000,40916000,5636000,156997000,157102000,23108000,220418000,294197000,34067000,6252000,15080000,101000,407858000,55996000,33258000,628276000,0,0,,6,20.71428571,27.1,100,6,7,34,,525,177,22,5.5,357,2,36.5
Algeria2010,Algeria,2010,5.46356678,7.875487156,18.31,,4,12.9,,42877000,50.7,,,86.6,78.9,90.3,85.7,82.5,87.3,94894000,30510000,0.439501341,230,,147,50,23.5,22,24.9,16.5,27.3,25.8,28.8,21820,1300,15299,24683,58.88888889,76.66667,,165111000,40044000,34395000,0,0,8981000,1144000,1693000,2226000,-31000,1065000,167337000,40013000,35460000,147586000,0,27231000,156567000,1144000,28924000,557414000,233510000,0,18,10,7.7,0.2,50,13,,27,205,630,158,55,24,451,,73
Algeria2011,Algeria,2011,5.317194462,7.932148926,14.39830596,,4,12.1,,30009000,50.9,,,86.8,79.6,90.2,85.3,82.4,86.7,80189000,22490000,0.446353481,220,,147,60,22.8,,,16.2,26.6,,,21805,1300,15474,24899,62.22222222,76.66667,,253176000,26070000,31321000,0,0,10276000,2140000,1819000,1358000,0,490000,254534000,26070000,31811000,149991000,1559000,24069000,160267000,3699000,25888000,535701000,120900000,0,18,10,8,0.3,50,13,,27,205,630,158,55,24,451,,73
